Author,givenname,givenname_reco,instance of,Count
"Cuason, Sherwin U.",Sherwin,Sherwin,male given name,1
"Xiong, Shuo",Shuo,Shūo,male given name,2
"Henrich, Soren",Soren,Søren,male given name,1
"Huddleston, Stefan",Stefan,Stefan,male given name,1
"Daniau, Stéphane",Stéphane,Stephane,male given name,1
"Saint-André, Stéphane",Stéphane,Stephane,male given name,1
"Dashiell, Steven",Steven,Steven,male given name,6
"Dashiell, Steven L.",Steven,Steven,male given name,2
"Holmes, Steven",Steven,Steven,male given name,1
"Leeds, Stuart M.",Stuart,Stuart,male given name,1
"Mystakidis, Stylianos",Stylianos,Stylianos,male given name,1
"Iuama, Tadeu Rodrigues",Tadeu,Tadeu,male given name,1
"Brazil, Teófilo Otoni-MG",Teófilo,Teofilo,male given name,1
"Terashima, Teppei",Teppei,Teppei,male given name,1
"Sauerschnig, Thomas",Thomas,,male given name,1
"Alves, Tiago Firmo",Tiago,Tiago,male given name,1
"Hutchings, Tim",Tim,,male given name,1
"Lorenz, Timo",Timo,Timo,male given name,1
"Röhl, Tobias",Tobias,Tobias,male given name,1
"Fuist, Todd Nicholas",Todd,,male given name,1
"Apperley, Tom",Tom,,male given name,2
"Laer, Tom Van",Tom,,male given name,1
"Reibert, Tom",Tom,,male given name,1
"Hampejs, Tomas",Tomas,Tomas,male given name,1
"Nikolai, Tomas",Tomas,Tomas,male given name,1
"Brander, Tommi",Tommi,Tommi,male given name,2
"Harviainen, J. Tuomas",Tuomas,Tuomas,male given name,3
"Roux, Ugo",Ugo,Ugo,male given name,3
"Betz, Ulrich A. K.",Ulrich,Ulrichen,male given name,1
"Lympouridis, Vangelis",Vangelis,Vangelis,male given name,1
"Karhulahti, Veli-Matti",Veli-Matti,Veli-Matti,male given name,1
"Chang, Victor",Victor,Victor,male given name,1
"Abella-García, Víctor",Víctor,victory,male given name,1
"García, Víctor Abella",Víctor,victory,male given name,1
"Dehili, Vincent Malik",Vincent,Vincent,male given name,1
"Compadre, Vitor Hugo Moreira Lima",Vitor,Vítor,male given name,1
"Schmit, Wagner Luiz",Wagner,Wagner,male given name,2
"Effross, Walter A.",Walter,Walter,male given name,1
"Wood, Walton",Walton,Walton,male given name,1
"Blackmon, Wayne D.",Wayne,Wayne,male given name,1
"Lizé, Wenceslas",Wenceslas,Wenceslas,male given name,1
"Evans, Wesley K.",Wesley,,male given name,1
"Coussieu, Wilfried",Wilfried,Wilfried,male given name,1
"White, William J.",William,William,male given name,5
"Ford, William K.",William,William,male given name,1
"Li, William",William,William,male given name,1
"White, William J",William,William,male given name,1
"Lecocq, Xavier",Xavier,Xavier,male given name,3
"Kotera, Yasuhiro",Yasuhiro,Yasuhiro,male given name,1
"Moro, Yuji",Yuji,Yūji,male given name,1
"Harada, Yūsuke",Yūsuke,Yūsuke,male given name,1
"Huang, Zhiwei",Zhiwei,Zhiwei,male given name,1
"Подвальный, Максим А.",Максим,,male given name,1
"Xu, Ariel Qianwen",Ariel,Ariel,unisex given name,1
"Bateman, Chris",Chris,Chris,unisex given name,2
"Bailey, Chris",Chris,Chris,unisex given name,1
"Hastings, Chris",Chris,Chris,unisex given name,1
"Schneider, Chris",Chris,Chris,unisex given name,1
"Schneider, Chris Andre",Chris,Chris,unisex given name,1
"Booker, Courtney M.",Courtney,Courtney,unisex given name,1
"Van Devender, Dana",Dana,Dana,unisex given name,1
"Doty, Gene",Gene,gene,unisex given name,1
"Atherton, Gray",Gray,Gray,unisex given name,1
"Murrhee, Kara Carnley",Kara,Kara,unisex given name,1
"Jones, Karis",Karis,Kari,unisex given name,3
"Ascherman, Lee I.",Lee,Lee,unisex given name,1
"Gelfand, Lynn",Lynn,Lynn,unisex given name,1
"Brennan, Mylie",Mylie,Mylie,unisex given name,1
"Crenshaw, Nikki",Nikki,Nikki,unisex given name,1
"Blackstock, Ryan",Ryan,Ryan,unisex given name,1
"Morgan, Ryan",Ryan,Ryan,unisex given name,1
"Vu, Ryan",Ryan,Ryan,unisex given name,1
"Karbachinskiy, Sasha",Sasha,Sasha,unisex given name,1
"Kennedy, Tracy L. M.",Tracy,Tracy,unisex given name,1
"Leeson, Whitney A. M.",Whitney,Whitney,unisex given name,1
"Herrera Pintado, Álvaro",Álvaro ,Álvaro ,male given name,1
"Yusuf, Ah",Ah,,male given name,1
"Albani, Andrieli Cecatto",Andrieli,Andrieli,female given name,1
"Vozinaki, Anthi-Eirini",Anthi-Eirini,Anthi-Eirini,female given name,1
"Seki, Atsuhisa",Atsuhisa,Atsuhisa,male given name,1
"Joraboev, Bahromjon Bakhtiyor Ogli",Bahromjon,uzwiki,male given name,1
"Swallow, Bard",Bard,barding,unisex given name,1
"Soper, Barlow",Barlow,Barlow lens,male given name,1
"Kamm, Björn-Ole",Björn-Ole,Björn-Ole,male given name,1
"McManus, I. C.",I. C.,,male given name,1
"Snow, Cason",Cason,,male given name,1
"Tseng, Chien-Chih",Chien-Chih,Chien-Chih,,1
"Parker, Felan",Felan,,,1
"Kawitzky, Felix Rose",Felix,Felix,unisex given name,1
"Borzenkova, Gana",Gana,Gana,,1
"Dias, Giorjety",Giorjety,Giorjety,,1
"Gellar-Goad, Theodore Harry McMillan",Theodore,,male given name,1
"Cameron, Hamish",Hamish,,male given name,1
"Zhan, Hao",Hao,,,1
"Campbell, Harrison",Harrison,Harrison,male given name,1
"Hilola Mamadiyorova, Erkiyor Kizi",Erkiyor,Erkiyor,female given name,1
"Hsiung, Hsiang-Yu",Hsiang-Yu,Hsiang-Yu,,1
"Chen, Hsueh-Chih",Hsueh-Chih,Hsueh-Chih,,1
"Zheng, Huijuan",Huijuan,Huijuan,,2
"Turner, I.",I.,I.,,1
"Cox, Jason",Jason,,male given name,1
"Chang, Jen-Ho",Jen-Ho,Jen-Ho,male given name,1
"Powell, Koehler",Koehler,,male given name,1
"Nashiro, Kunitaka",Kunitaka,Kunitaka,male given name,1
"Robinson, L.",L.,L.,,1
"Thao Doan, Le Minh",Le,,,1
"Tao, Lingxiao",Lingxiao,,,1
"Yamamoto, Mahisa",Mahisa,,,1
"Meriläinen, Mikko",Mikko,Mikko,male given name,2
"Feng, Ming",Ming,Ming,,1
"Steele, Morgan James",Morgan,,,1
"Lund, Ole",Ole,,male given name,1
"Lankoski, Petri",Petri,,male given name,1
"Berge, PS",PS,,,1
"Wang, Qiyu",Qiyu,Qiyu,,1
"Wulandari, Rachmaghita Sribhuwana",Rachmaghita,Rachmaghita,female given name,1
"Liebler, Raizel",Raizel,Raizel,female given name,1
"Patel, Ravi",Ravi,,male given name,1
"Lloren, Regie",Regie,,female given name,1
"Raghuraman, Renuka Sundaram",Renuka,,female given name,1
"Siswanto, Riky Azharyandi",Riky,,,1
"Wen, Ruoyu",Ruoyu,Ruoyu,male given name,2
"Topcuoglu, Sedef",Sedef,,female given name,2
"Tilak, Shantanu",Shantanu,Shantanu,male given name,1
"Tran, Thuan",Thuan,,,1
"Long, TiMar",TiMar,,male given name,1
"Chung, Tsui-shan",Tsui-shan,Tsui-shan,,1
"Rachmawati, Turniningtyas Ayu",Turniningtyas,Turniningtyas,female given name,1
"Lin, Tzu-Jung",Tzu-Jung,Tzu-Jung,,1
"Richard, Y.",Y.,,,1
"Bian, Yixin",Yixin,,,1
"Chang, Yu-Lin",Yu-Lin,Yu-Lin,,1
"Wen, Ziye",Ziye,,,1
